name,scholarid
Les A. Piegl,yvA23lcAAAAJ
Leslie A. Henderson,rXpctjYAAAAJ
Leslie Ann Goldberg,rXpctjYAAAAJ
Leslie G. Valiant,H509xdsAAAAJ
Leslie Gasser,NOSCHOLARPAGE
Leslie Lander,NOSCHOLARPAGE
Leslie Pack Kaelbling,NOSCHOLARPAGE
Leszek Antoni Gasieniec,TbQXQ7EAAAAJ
Leszek Gasieniec,TbQXQ7EAAAAJ
Leszek Lilien,5iB3-eMAAAAJ
Leszek Pacholski,8U18-YQAAAAJ
Leszek T. Lilien,5iB3-eMAAAAJ
Letha H. Etzkorn,_k0dq8QAAAAJ
Letizia Jaccheri,xBnjjysAAAAJ
Letizia Tanca,FmRpFsoAAAAJ
Lev Manovich,QP5JHg_7o_cC
Lev Reyzin,IQBTvn4AAAAJ
Levent Burak Kara,_X2eOeQAAAAJ
Levent Yilmaz,uPBKJewAAAAJ
Levi H. S. Lelis,eoXoLFgAAAAJ
Levi Lelis,eoXoLFgAAAAJ
Lewis D. Griffin,Gw5Pc1UAAAAJ
Lewis M. Mackenzie,fh24VJAAAAAJ
Lewis Mackenzie,fh24VJAAAAAJ
Lewis Tseng,v80SHFMAAAAJ
Lexing Xie,u0xUDSoAAAAJ
Leye Wang,o2I4sL8AAAAJ
Leysia Palen,x0OsogEAAAAJ
Li Chen 0009,1kIvpVQAAAAJ
Li Fei-Fei 0001,rDfyQnIAAAAJ
Li Jiang 0002,pSD4uSoAAAAJ
Li Li,zuUsFkgAAAAJ
Li Li 0029,zuUsFkgAAAAJ
Li Liao,o6e8dvUAAAAJ
Li Niu,NOSCHOLARPAGE
Li Weigang,Sw_i7yQAAAAJ
Li Xiao 0001,NOSCHOLARPAGE
Li Xiong 0001,PUDKHmQAAAAJ
Li Yang,NOSCHOLARPAGE
Li-Chen Fu,xJQGpUgAAAAJ
Li-Hsing Yen,lgBtvGwAAAAJ
Li-Pin Chang,t21ZkxEAAAAJ
Li-Ping Liu,aFaGunAAAAAJ
Li-San Wang,ncxi_G4AAAAJ
Li-Shiuan Peh,H-l2HbsAAAAJ
Li-Yan Yuan,NOSCHOLARPAGE
Li-Yang Tan,NOSCHOLARPAGE
LiGuo Huang,NOSCHOLARPAGE
Liam Paull,H9xADK0AAAAJ
Liam Peyton,jKBUKKgAAAAJ
Liam Roditty,UY5xtq0AAAAJ
Liang Cheng 0001,NOSCHOLARPAGE
Liang Huang 0001,AdFeG5cAAAAJ
Liang Lan,1I9bfiYAAAAJ
Liang Wang 0001,8kzzUboAAAAJ
Liang Wang 0006,O6EwhtYAAAAJ
Liang Zheng,vNHqr3oAAAAJ
Liang-Tien Chia,Eeolw80AAAAJ
Liangcai Gao,NOSCHOLARPAGE
Lianli Gao,zsm2dpYAAAAJ
Licia Capra,iwzlsmUAAAAJ
Licia Sbattella,NOSCHOLARPAGE
Lidan Shou,0OlITuIAAAAJ
Lifeng Sun,NOSCHOLARPAGE
Lifu Wang,NOSCHOLARPAGE
Ligang Liu,1U9U_cYAAAAJ
Liguo Huang,NOSCHOLARPAGE
Lihao Xu,Q1QN1qYAAAAJ
Lihi Zelnik-Manor,E_ejWvYAAAAJ
Lihua Yue,NOSCHOLARPAGE
Lijie Wen,f3C0jUIAAAAJ
Lijun Chang,SWYX6pgAAAAJ
Lijun Chen 0001,p0rj1lEAAAAJ
Lijun Chen 0002,NOSCHOLARPAGE
Lijun Yin,PYV9NvYAAAAJ
Lijun Zhang 0005,DC5FEjoAAAAJ
Lila Kari,HqqZlPUAAAAJ
Lila Santean,HqqZlPUAAAAJ
Lili Mou,32UrMrQAAAAJ
Lili Qiu,16posrQAAAAJ
Lili Shan,8NObiJAAAAAJ
Lilia Georgieva,NOSCHOLARPAGE
Lilian Blot,Enkx56UAAAAJ
Lillian Lee,oJESe-cAAAAJ
Limin Wang 0002,HEuN8PcAAAAJ
Limin Xiao,NOSCHOLARPAGE
Liming Cai,xj8uYUUAAAAJ
Limsoon Wong,Inqu8SkAAAAJ
Lin Feng,vasvExMAAAAJ
Lin Gao 0004,_RIupXUAAAAJ
Lin Jiang,nZCtaPgAAAAJ
Lin Liu 0001,0-SZSzgAAAAJ
Lin Lv,NOSCHOLARPAGE
Lin Padgham,Bt3NOyAAAAAJ
Lin Qiao,zAQYGk4AAAAJ
Lin Tan 0001,C6yankcAAAAJ
Lin Zhong 0001,hJPN-G8AAAAJ
Lin-shan Lee,NOSCHOLARPAGE
LinLin Shen,AZ_y9HgAAAAJ
Lina Yao,EU3snBgAAAAJ
Lina von Sydow,YY0uJ-gAAAAJ
Linda G. Shapiro,6pGeV2wAAAAJ
Linda Jean Camp,wJPGa2IAAAAJ
Linda Ott,HnxM2zkAAAAJ
Linda Pagli,NOSCHOLARPAGE
Linda Petzold,6IxWYR0AAAAJ
Linda R. Petzold,6IxWYR0AAAAJ
Linda Weiser Friedman,LUgrnWMAAAAJ
Lindsay Groves,SbbFviUAAAAJ
Lindsey Kuper,TNqlmxEAAAAJ
Line Katrine Harder Clemmensen,NOSCHOLARPAGE
Ling Chen 0001,Vxi9eakAAAAJ
Ling Chen 0006,NOSCHOLARPAGE
Ling Feng,sFFYgzkAAAAJ
Ling Liu 0001,VIwtdckAAAAJ
Ling Ren 0001,0uB26_QAAAAJ
Ling Wang,HwIAqgIAAAAJ
Ling-Qi Yan,IP5vaxAAAAAJ
Ling-Yu Duan,NOSCHOLARPAGE
Lingfei Jin,S83wFzEAAAAJ
Linghe Kong,-wm2X-8AAAAJ
Lingjia Liu,_d2M0xMAAAAJ
Lingjia Tang,hc9PP9gAAAAJ
Lingkan Gong,BvpL9wsAAAAJ
Lingming Zhang,zzbWQE4AAAAJ
Lingxiao Jiang,0hssXLPZL2YC
Lingyu Duan,NOSCHOLARPAGE
Lingyun Sun,zzW8d-wAAAAJ
Linh Anh Nguyen,NOSCHOLARPAGE
Linh T. X. Phan,ojH7GEgAAAAJ
Linh Thi Xuan Phan,ojH7GEgAAAAJ
Linhai Song,RVQMz2sAAAAJ
Lining Yao,FEnuzckAAAAJ
Linli Xu,NOSCHOLARPAGE
Linlin Shen,AZ_y9HgAAAAJ
Linmi Tao,NOSCHOLARPAGE
Linpeng Huang,IC620Q4AAAAJ
Linwei Wang,CG56DzcAAAAJ
Linzhang Wang,3BoHCW8AAAAJ
Lionel M. Ni,OzMYwDIAAAAJ
Lionel Ming-shuan Ni,OzMYwDIAAAAJ
Lionel Morel,fkrc1-MAAAAJ
Lionel Robert Morel,fkrc1-MAAAAJ
Lionel Seinturier,XmiDIkYAAAAJ
Lior Pachter,DKfEcuEAAAAJ
Lior Shamir,mP-0XmYAAAAJ
Liping Shen,NOSCHOLARPAGE
Lipyeow Lim,_ILTBg0AAAAJ
Liqiang Nie,yywVMhUAAAAJ
Liqiang Wang,mZKxB10AAAAJ
Liqing Zhang 0001,1smFmxAAAAAJ
Liqing Zhang 0002,erM6KTMAAAAJ
Liqiong Tang,NOSCHOLARPAGE
Liqun Chen,3IH9iokAAAAJ
Lirong Xia,C19mgCgAAAAJ
Lisa Anthony,GUucp2UAAAAJ
Lisa Hellerstein,A45mhtsAAAAJ
Lisa Singh,NOSCHOLARPAGE
Lisa Wu,bAhJeo0AAAAJ
Lisandro Zambenedetti Granville,v9JjkyYAAAAJ
Lise Getoor,Y8-xGncAAAAJ
Lisong Xu,ns_6BgMAAAAJ
Liting Hu,jG2EBooAAAAJ
Liuba Shrira,tyUShkAAAAAJ
Liusheng Huang,1XHpROsAAAAJ
Liwei Chan,yF0Cw1EAAAAJ
Liwei Wang 0001,NOSCHOLARPAGE
Lixia Zhang 0001,CZyWk8kAAAAJ
Lixin Ding,NOSCHOLARPAGE
Lixin Duan,inRIcS0AAAAJ
Liyong Tang,NOSCHOLARPAGE
Liz Sonenberg,w8EFH0IAAAAJ
Lizhong Chen,txM1gcUAAAAJ
Lizhuang Ma,yd58y_0AAAAJ
Ljubomir Perkovic,6dwowIYAAAAJ
Llorenç Cerdà,LwfxWokAAAAJ
Llorenç Cerdà-Alabern,LwfxWokAAAAJ
Lloyd W. Massengill,4pWpdEIAAAAJ
Lluís Màrquez,yFNUfjsAAAAJ
Lluís Màrquez i Villodre,yFNUfjsAAAAJ
Loai Alnemer,4w18VJgAAAAJ
Loana Tito Nogueira,AQsF0MYAAAAJ
Loay Sabry-Ismaïl,NOSCHOLARPAGE
Lodewyk F. A. Wessels,NOSCHOLARPAGE
Loek Cleophas,dKA2bqcAAAAJ
Loek G. Cleophas,dKA2bqcAAAAJ
Lois Wright Hawkes,NOSCHOLARPAGE
Lone Leth,vyYcihcAAAAJ
Lone Leth Thomsen,vyYcihcAAAAJ
Long Cheng 0005,GuaBhicAAAAJ
Long Lu,NOSCHOLARPAGE
Long Quan,o1BYTL4AAAAJ
Long-Wen Chang,NOSCHOLARPAGE
Longbo Huang,g9d_K0sAAAAJ
Longbu Huang,g9d_K0sAAAAJ
Longin Jan Latecki,6sQtqo8AAAAJ
Lonnie R. Welch,NOSCHOLARPAGE
Lora Aroyo,FXGgl5IAAAAJ
Lora Oehlberg,8GzaBdwAAAAJ
Loren G. Terveen,r6cAovIAAAAJ
Loren Gilbert Terveen,r6cAovIAAAAJ
Loren Schwiebert,mP7h9LcAAAAJ
Loren Terveen,r6cAovIAAAAJ
Lorenz Hilty,nRTZV54AAAAJ
Lorenzo Alvisi,K_-KJi8AAAAJ
Lorenzo Clemente,N5a0IB8AAAAJ
Lorenzo Orecchia,dT7yOrwAAAAJ
Lori L. Pollock,fmt12jMAAAAJ
Lorie Loeb,_kl2qQQAAAAJ
Lorie M. Liebrock,TMkX4lMAAAAJ
Loris D'Antoni,ao8EeJ8AAAAJ
Loris Marchal,Fv5NiSwAAAAJ
Lorna K. Stewart,NOSCHOLARPAGE
Lorna MacDonald,NOSCHOLARPAGE
Lorna Stewart,NOSCHOLARPAGE
Lorne Olfman,fXqjPDUAAAAJ
Lorrie Faith Cranor,kIUqgbcAAAAJ
Lothar Thiele,OaAKHewAAAAJ
Lotus Goldberg,bx2LquQAAAAJ
Louay Bazzi,9oNkK7YAAAAJ
Louay M. J. Bazzi,9oNkK7YAAAAJ
Louis Bigo,NOSCHOLARPAGE
Louis D'Alotto,OtxLPl4AAAAJ
Louis D. Nel,NOSCHOLARPAGE
Louis I. Steinberg,NOSCHOLARPAGE
Louis Petingi,LCBI27EAAAAJ
Louis Salvail,NOSCHOLARPAGE
Louis-Philippe Morency,APgaFK0AAAAJ
Louise A. Dennis,5d8ouI8AAAAJ
Lourdes Agapito,IRMX4-4AAAAJ
Lourdes de Agapito,IRMX4-4AAAAJ
Louwe B. Kuijer,iF9PsigAAAAJ
Loïc Cerf,NOSCHOLARPAGE
Loïc Denis,QGsZcgIAAAAJ
Lu Chen 0001,gLOpEaIAAAAJ
Lu Feng 0001,HiyMQzEAAAAJ
Lu Qin,DQHL47oAAAAJ
Lu Ruan 0001,3FrD14AAAAAJ
Lu Su,38RuCN4AAAAJ
Lu Wang 0008,uczqEdUAAAAJ
Lu Zhang 0021,06ms8fMAAAAJ
Lu Zhang 0023,JUnz2VcAAAAJ
Luay Nakhleh,46HLWf8AAAAJ
Lubomir Bic,NOSCHOLARPAGE
Lubomir F. Bic,NOSCHOLARPAGE
Lubomír Popelínský,NOSCHOLARPAGE
Lubos Brim,-EvkffIAAAAJ
Lubos Popelínský,NOSCHOLARPAGE
Luc Berthouze,WvYeh5IAAAAJ
Luc De Raedt,dgobB6AAAAAJ
Luc Devroye,DC_7koIAAAAJ
Luc J. Van Gool,TwMib_QAAAAJ
Luc Longpré,NOSCHOLARPAGE
Luc Segoufin,NOSCHOLARPAGE
Luc Van Gool,TwMib_QAAAAJ
Luca Abeni,C3a6glEAAAAJ
Luca Allodi,aHbp3AQAAAAJ
Luca Barletta,vu_mjR0AAAAJ
Luca Benini,8riq3sYAAAAJ
Luca Daniel,JtPNrS8AAAAJ
Luca Gemignani,PtMCtZsAAAAJ
Luca Greco,bLphet8AAAAJ
Luca Mottola,VkFc88EAAAAJ
Luca O. Breviglieri,NOSCHOLARPAGE
Luca P. Carloni,sEAoh3MAAAAJ
Luca Trevisan,4yuKD_AAAAAJ
Luca de Alfaro,gkACFVcAAAAJ
Lucas Mello Schnorr,nPAkDeYAAAAJ
Luce Brotcorne,FbDXUDEAAAAJ
Lucia Dettori,NOSCHOLARPAGE
Lucia Moura,oL0v45UAAAAJ
Lucian Ilie,LdhygQ4AAAAJ
Luciana P. Nedel,NOSCHOLARPAGE
Luciana Porcher Nedel,NOSCHOLARPAGE
Luciana S. Buriol,5BoIwjYAAAAJ
Luciana Salete Buriol,5BoIwjYAAAAJ
Luciano Barbosa,OsKAdpEAAAAJ
Luciano Baresi,xvzzSFgAAAAJ
Luciano García-Bañuelos,ly9UiYMAAAAJ
Luciano Paschoal Gaspary,SnT7z5wAAAAJ
Lucinéia Heloisa Thom,MTLCh6oAAAAJ
Lucinéia Thom,MTLCh6oAAAAJ
Lucio Mauro Duarte,NOSCHOLARPAGE
Ludek Matyska,XA85OFQAAAAJ
Lui Sha,SlXqNooAAAAJ
Luidi Gelabert Simonetti,xOugM_4AAAAJ
Luidi Simonetti,xOugM_4AAAAJ
Luigi Benedicenti,hmN53dQAAAAJ
Luigi Carro,vS6vkY4AAAAJ
Luigi Cerulo,pumq55sAAAAJ
Luigi Lancieri,rYa0IzwAAAAJ
Luigi Troiano,OegnMPoAAAAJ
Luis A. F. M. Ferreira,7eEExREAAAAJ
Luis Antonio Brasil Kowada,8DN4mmEAAAAJ
Luis Ceze,KzESVKwAAAAJ
Luis Eduardo Teixeira Rodrigues,iSVcwh8AAAAJ
Luis Gravano,Ff6era8AAAAJ
Luis Miguel Silveira,NOSCHOLARPAGE
Luis Pedrosa,Rue7JwcAAAAJ
Luis Rademacher,wNqCOAEAAAAJ
Luis Velasco,lu3TqZMAAAAJ
Luis von Ahn,NOSCHOLARPAGE
Luisa Gargano,bT6SzasAAAAJ
Luiz Chaimowicz,-6ws0MoAAAAJ
Luiz Eduardo Buzato,7MRt4MsAAAAJ
Luiz F. Bittencourt,ohMT6gcAAAAJ
Luiz Fernando Bittencourt,ohMT6gcAAAAJ
Luiz Filipe M. Vieira,KGysOTEAAAAJ
Luiz Filipe Menezes Vieira,KGysOTEAAAAJ
Luiz Gustavo Almeida Martins,2p2GbVYAAAAJ
Luiz Gustavo Fernandes,ZkUd394AAAAJ
Luiz S. Ochi,w3KB2MoAAAAJ
Luiz Satoru Ochi,w3KB2MoAAAAJ
Luiza Antonie,NOSCHOLARPAGE
Lujo Bauer,5cJzDZEAAAAJ
Lukasz A. Kurgan,zXw_54AAAAAJ
Lukasz Golab,NOSCHOLARPAGE
Lukasz Jez,TJ4i9WQAAAAJ
Lukasz Kowalik,etDDW8sAAAAJ
Lukasz Ziarek,Bi8bhC0AAAAJ
Luke Huan,j2PH0Y0AAAAJ
Luke J. Lee,xADN4DUAAAAJ
Luke N. Olson,o43oc6AAAAAJ
Luke Olson,o43oc6AAAAAJ
Luke Ong,NOSCHOLARPAGE
Luke S. Zettlemoyer,UjpbO6IAAAAJ
Luke Zettlemoyer,UjpbO6IAAAAJ
Lunjin Lu,HkY25zMAAAAJ
Luoyi Fu,xHs9mCUAAAAJ
Luqi,OJBm5MYAAAAJ
Lutz Maicher,8k5_f7cAAAAJ
Lutz Prechelt,ZY2MP7QAAAAJ
Luyi Xing,xTjH_GAAAAAJ
Luís C. Lamb,NOSCHOLARPAGE
Luís Caires,mzi8n0QAAAAJ
Luís Caldas de Oliveira,ZlqnYZoAAAAJ
Luís Carriço,MLg1ZJMAAAAJ
Luís D. Pedrosa,Rue7JwcAAAAJ
Luís E. T. Rodrigues,iSVcwh8AAAAJ
Luís F. M. de Moraes,NOSCHOLARPAGE
Luís Felipe M. de Moraes,NOSCHOLARPAGE
Luís Guerra e Silva,4HUmvlUAAAAJ
Luís M. Correia,a0tgRXcAAAAJ
Luís M. S. Russo,O-PD_hsAAAAJ
Luís Manuel Jesus Sousa Correia,a0tgRXcAAAAJ
Luís Miguel Parreira Correia,2IbMjzgAAAAJ
Luís Moniz Pereira,2YvVEn8AAAAJ
Luís Pina,EtfPm7EAAAAJ
Luís Veiga,JFkgoeEAAAAJ
Luís da Cunha Lamb,NOSCHOLARPAGE
Luísa Coheur,dJ5sl_QAAAAJ
Luíz Moniz Pereira,2YvVEn8AAAAJ
Lydia B. Chilton,RpxD-7QAAAAJ
Lydia E. Kavraki,Q6pxNZYAAAAJ
Lydia Tapia,V2LAAxUAAAAJ
Lyle H. Ungar,KCiDjbkAAAAJ
Lyle Ungar,KCiDjbkAAAAJ
Lynda Hardman,tO5nca4AAAAJ
Lyndon While,NOSCHOLARPAGE
Lynette Johns-Boast,Gdi5XR4AAAAJ
Lynette van Zijl,VYsbpdwAAAAJ
Lynn Peterson,6TIFDwoAAAAJ
Lynne Baillie,qusCPxoAAAAJ
Lynne E. Parker,XxGyUpAAAAAJ
Lynne Parker,XxGyUpAAAAAJ
Lásaro J. Camargos,ZTKP1OwAAAAJ
Lásaro Jonas Camargos,ZTKP1OwAAAAJ
László Babai,NOSCHOLARPAGE
László Egri,NOSCHOLARPAGE
Léon J. M. Rothkrantz,NOSCHOLARPAGE
Léonor Beccera-Bonache,NOSCHOLARPAGE
Lúcia Maria de A. Drummond,UhYdnvYAAAAJ
Lúcia Maria de Assumpção Drummond,UhYdnvYAAAAJ
M. Amaç Güvensan,YPbvk4gAAAAJ
M. Angela Sasse,9H_eJqAAAAAJ
M. Anton Ertl,NOSCHOLARPAGE
M. B. Do Coutto Filho,C7WY29gAAAAJ
M. Balakrishnan,Nt98A90AAAAJ
M. Birna van Riemsdijk,PnxGeHMAAAAJ
M. Brian Blake,yviVLyIAAAAJ
M. Cecília C. Baranauskas,NOSCHOLARPAGE
M. D. Atkinson,C2oYWqgAAAAJ
M. Eduard Gröller,eBsjFlIAAAAJ
M. Elif Karsligil,NOSCHOLARPAGE
M. Engin Tozal,NOSCHOLARPAGE
M. Fatih Amasyali,qTUSAy0AAAAJ
M. Frans Kaashoek,NOSCHOLARPAGE
M. G. J. van den Brand,CZt-AsoAAAAJ
M. Gopi,DI8bU-0AAAAJ
M. H. Samadzadeh,NOSCHOLARPAGE
M. Kemal Sönmez,NOSCHOLARPAGE
M. Mondal Ananda,NOSCHOLARPAGE
M. Narasimha Murty,VQZTmpcAAAAJ
M. Osama Alhalabi,jYUTRTcAAAAJ
M. Praveen,xDgt2Z8AAAAJ
M. S. Ryoo,vcw0TJIAAAAJ
M. Salman Asif,Dl0puDcAAAAJ
M. Satyanarayanan,0y6JDD4AAAAJ
M. Sheelagh T. Carpendale,NOSCHOLARPAGE
M. Tamer Özsu,dwxm_CoAAAAJ
M. V. N. Ashwin Kumar,A0hv6xwAAAAJ
M. V. Panduranga Rao,WXSB53kAAAAJ
M. Zubair Shafiq,Q3FvLzUAAAAJ
M. Özuysal,CfT5AZYAAAAJ
M. Ümit Uyar,tF0lurkAAAAJ
Maarten Jansen,ynC74rsAAAAJ
Maarten Marx,H54oRlIAAAAJ
Maarten de Rijke,AVDkgFIAAAAJ
Maarten van Steen,1mFRcc0AAAAJ
Macario O. Cordel II,A3iyOR0AAAAJ
Maciej Piróg,xxwcLlAAAAAJ
Madalina Fiterau,NTHsaUQAAAAJ
Madeleine Udell,tZ9pEDMAAAAJ
Madhav Marathe,cLjMQqsAAAAJ
Madhav Rao,B7Eg5RsAAAAJ
Madhav V. Marathe,cLjMQqsAAAAJ
Madhavan Mukund,NOSCHOLARPAGE
Madhu Lata Goyal,sDCO31YAAAAJ
Madhu Mutyam,HS4VEdYAAAAJ
Madhu Sudan,D-RwB3YAAAAJ
Madhur Behl,bj_imaYAAAAJ
Madhur Tulsiani,5ZTO0uMAAAAJ
Madhusudhan Govindaraju,cuA3CkgAAAAJ
Mads Dam,0RqTjOUAAAAJ
Mads Nielsen,2QCJXEkAAAAJ
Mads Nyborg,NOSCHOLARPAGE
Mads Peter Sørensen,NOSCHOLARPAGE
Maen M. Al Assaf,eK4zRzwAAAAJ
Magda Balazinska,DDxFvcIAAAAJ
Magda El Zarki,NOSCHOLARPAGE
Magdalena Balazinska,DDxFvcIAAAAJ
Magdy A. Bayoumi,NOSCHOLARPAGE
Magdy Bayoumi,NOSCHOLARPAGE
Magnus Almgren,y6wqBG0AAAAJ
Magnus Boman,DE0n-AQAAAAJ
Magnus Jahre,D052R0UAAAAJ
Magnus Lie Hetland,Ya7SllsAAAAJ
Magnus Madsen,FuOCN_oAAAAJ
Magnus Myreen,NOSCHOLARPAGE
Magnus Själander,mmdrsyQAAAAJ
Magy Seif El-Nasr,SwzKJ0kAAAAJ
Mahadev Satyanarayanan,0y6JDD4AAAAJ
Mahadevan Subramaniam,NOSCHOLARPAGE
Mahalingam Ramkumar,NOSCHOLARPAGE
Mahanth Gowda,R-fOpm4AAAAJ
Mahbub Hassan,iJakSYUAAAAJ
Mahbubur M. Rahim,pfymHsAAAAAJ
Mahbubur Rahim,pfymHsAAAAAJ
Mahdi Abdelguerfi,NOSCHOLARPAGE
Mahdi Cheraghchi,pDkhB5EAAAAJ
Mahdi Jafari Siavoshani,O1iciXoAAAAJ
Mahdi Nazm Bojnordi,NSwUmTMAAAAJ
Mahdieh Soleymani Baghshah,NOSCHOLARPAGE
Mahe Velauthapillai,NOSCHOLARPAGE
Mahendran Velauthapillai,NOSCHOLARPAGE
Maher Khemakhem,krjxCCgAAAAJ
Mahesh K. Marina,VJLdaGgAAAAJ
Mahesh Viswanathan 0001,nztNRM0AAAAJ
Mahmoud R. El-Sakka,NOSCHOLARPAGE
Mahmoud Rasras,O4yH6_cAAAAJ
Mahmuda Naznin,dJx58AQAAAAJ
Mahmut T. Kandemir,j67v24EAAAAJ
Mahmut Taylan Kandemir,j67v24EAAAAJ
Mahsa Mirzargar,nm7Oe6sAAAAJ
Mahshid Mojtabavi Naeini,NOSCHOLARPAGE
Mai Fadel,NOSCHOLARPAGE
Mainak Chatterjee,KpWOS14AAAAJ
Mainak Chaudhuri,-0GC4ZMAAAAJ
Maithilee Kunda,NOSCHOLARPAGE
Maja J. Mataric,o5YQMkMAAAAJ
Maja Mataric,o5YQMkMAAAAJ
Maja Pantic,ygpxbK8AAAAJ
Majdi Sawalha,6LD7HyIAAAAJ
Majid Ghaderi,ZjsBzlAAAAAJ
Majid Kazemian,2Vw-Bq0AAAAJ
Majid Khonji,Z2AxaZYAAAAJ
Majid Komeili,AIHFesoAAAAJ
Majid Mirmehdi,NsW3yAwAAAAJ
Majid Sarrafzadeh,LYt_4uIAAAAJ
Majid Zamani,-XDU9ZMAAAAJ
Makoto Nakayama,NOSCHOLARPAGE
Makoto Yamada,1cKNu1gAAAAJ
Makoto Yamashita,NOSCHOLARPAGE
Maksim Serbyn,NOSCHOLARPAGE
Malcolm D. Atkinson,NOSCHOLARPAGE
Malcolm Heywood,_d-AGjUAAAAJ
Malcolm P. Atkinson,NOSCHOLARPAGE
Maleknaz Nayebi,uSWqDhwAAAAJ
Malgorzata Biernacka,8uwdTTMAAAAJ
Malik Magdon-Ismail,NOSCHOLARPAGE
Malte F. Jung,pfBh4zEAAAAJ
Malte Jung,pfBh4zEAAAAJ
Malte Schwarzkopf,Lf1hSacAAAAJ
Malvina Nissim,hnTpEOAAAAAJ
Man Hon Wong 0001,KGXAyxYAAAAJ
Man Kong,XVbgceMAAAAJ
Man-Tak Shing,NOSCHOLARPAGE
Manal Abdullah,pmD8DeIAAAAJ
Manal Helal,fgACIMUAAAAJ
Manar Alalfi,vMfalC8AAAAJ
Manar S. Ali,cyGTNXMAAAAJ
Manas Khatua,TQshktIAAAAJ
Maneesh Agrawala,YPzKczYAAAAJ
Manel Guerrero Zapata,eFe60BoAAAAJ
Manel Medina,pPqLc2MAAAAJ
Manfred Hauswirth,WwjTJ3YAAAAJ
Manfred Huber,2lIq2nMAAAAJ
Manfred Jaeger,1E085gUAAAAJ
Manfred K. Warmuth,NOSCHOLARPAGE
Manfred Nagl,uz_EYlwAAAAJ
Manfred Opper,NOSCHOLARPAGE
Manfred Tscheligi,m-L0IVgAAAAJ
Mani B. Srivastava,X2Qs7XYAAAAJ
Mani Golparvar Fard,js1mtE4AAAAJ
Manik Lal Das,wlTzQBMAAAAJ
Manindra Agrawal,UBXqggoAAAAJ
Manish Gupta 0001,dt_xftUAAAAJ
Manish Narwaria,RVc_D94AAAAJ
Manish Parashar,SCM35lMAAAAJ
Manish Shrivastava 0001,DKC3xNYAAAAJ
Manish Singh 0001,9XRvM88AAAAJ
Manish Singh 0002,I1jX5vgAAAAJ
Manja Marz,NOSCHOLARPAGE
Manjunath V. Joshi,iDqnnKkAAAAJ
Manmohan Chandraker,oPFCNk4AAAAJ
Manmohan Krishna Chandraker,oPFCNk4AAAAJ
Manohar Kaul,jNroyK4AAAAJ
Manoj Gupta 0002,PGzgTLoAAAAJ
Manoj M. Prabhakaran,FANRIhwAAAAJ
Manoj Misra,EwxWd40AAAAJ
Manoj Prabhakaran,FANRIhwAAAAJ
Manolis G. H. Katevenis,E2-GshsAAAAJ
Manolis Katevenis,E2-GshsAAAAJ
Manolis Kellis,lsYXBx8AAAAJ
Manolis Koubarakis,FKy2868AAAAJ
Manolis Savva,4D2vsdYAAAAJ
Manos Antonakakis,P6VJcVIAAAAJ
Manos Athanassoulis,RyXHY68AAAAJ
Manos Kapritsos,65VCOs0AAAAJ
Manos Panaousis,FRwRt24AAAAJ
Mansour Jamzad,oKz2WAkAAAAJ
Mantis Cheng,NOSCHOLARPAGE
Manton M. Matthews,NOSCHOLARPAGE
Manu Awasthi,AaMBbMMAAAAJ
Manu Kaul,jNroyK4AAAAJ
Manu Sridharan,iNtk_EQAAAAJ
Manuel Alejandro Pajuelo Gonzalez,NOSCHOLARPAGE
Manuel Blum 0001,7S-LSKoAAAAJ
Manuel C. Lopes,8tO0CikAAAAJ
Manuel Cabido-Lopes,8tO0CikAAAAJ
Manuel Campos,SlDiTNgAAAAJ
Manuel Campos Martínez,SlDiTNgAAAAJ
Manuel Carro,dBhRRpEAAAAJ
Manuel Chakravarty,w6XYY_EAAAAJ
Manuel E. Acacio,iHD6MsUAAAAJ
Manuel E. Bermudez,xjUqBT0AAAAJ
Manuel E. Lladser,Uv6cAEMAAAAJ
Manuel Egele,DRvJPxcAAAAJ
Manuel Gomez-Rodriguez,UcuXmuwAAAAJ
Manuel Lopes 0001,8tO0CikAAAAJ
Manuel M. Oliveira,f2UrnmAAAAAJ
Manuel M. Silva,NOSCHOLARPAGE
Manuel Maarek,QtQDy8MAAAAJ
Manuel Medeiros Silva,NOSCHOLARPAGE
Manuel Medina,pPqLc2MAAAAJ
Manuel Menezes de Oliveira Neto,f2UrnmAAAAAJ
Manuel Roveri,j2NbakMAAAAJ
Manuel V. Hermenegildo,VXQGJD0AAAAJ
Manuel Wimmer,YZDY1psAAAAJ
Manya Ghobadi,M78g4SAAAAAJ
Maosong Sun,zIgT0HMAAAAJ
Mara Abel,0yuOx18AAAAJ
Marc Alexa,KNwXLLsAAAAJ
Marc Bernard,zO1nhO8AAAAJ
Marc Buchner,NOSCHOLARPAGE
Marc Dacier,V62JMEYAAAAJ
Marc Denecker,3Sh0lhcAAAAJ
Marc Erich Latoschik,AbyxansAAAAJ
Marc Feeley,NOSCHOLARPAGE
Marc Fischlin,gfoYjCMAAAAJ
Marc González,HBsqrO8AAAAJ
Marc González Tallada,HBsqrO8AAAAJ
Marc H. Scholl,741oZZ0AAAAJ
Marc Langheinrich,y6ztFvsAAAAJ
Marc Lelarge,cLGOIdMAAAAJ
Marc Moreno Maza,pW3soucAAAAJ
Marc Niethammer,KqtBi6MAAAAJ
Marc Olano,iEGYZT4AAAAJ
